homevalue_bin,Black,Hispanic,White
"0 - 100,000",0.6502636203866432,0.6832997176280758,0.28497751371869456
"100,000 - 200,000",0.22341162059966982,0.24231544977813635,0.395129347691546
"200,000 - 300,000",0.08861905522713959,0.04497781363453005,0.16321120600734415
"300,000 - 400,000",0.015178143473398307,0.01073013311819282,0.0780212072451211
"400,000 - 500,000",0.006390797251957182,0.011698265429608713,0.03569955027437389
"500,000+",0.016136763061191883,0.006978620411456232,0.042961175062920326
